"tipo_selecao","sigma_p","encounters_n","n_reps","Metrica","Gen_1","Gen_50","Delta","Delta_pct"
"uniform",0.8,40,8,"Modularity",0.599022972502928,0.616365860270045,0.0173428877671175,2.89519577098234
"uniform",0.8,40,8,"Nestedness",0.909239035325901,0.79425737419923,-0.114981661126671,-12.645922211804
"uniform",0.8,40,8,"varz_males",0.700854141907906,0.0755301991501116,-0.625323942757794,-89.2231215264707
"uniform",0.8,40,8,"zbar_males",5.05877869389259,5.06398651753913,0.0052078236465416,0.102946263548333
"gaussian",0.8,40,8,"Centralization",0.0172058794745222,0.0147120484726474,-0.00249383100187476,-14.4940629484679
"gaussian",0.8,40,8,"I_s",0.313426409900021,0.380309437818838,0.0668830279188164,21.3393083053056
"gaussian",0.8,40,8,"Modularity",0.610538833546505,0.657063846742307,0.0465250131958015,7.62032005819293
"gaussian",0.8,40,8,"Nestedness",0.912139459113522,0.758529997176408,-0.153609461937114,-16.8405675691744
"gaussian",0.8,40,8,"varz_males",0.703839400016255,0.0854987694032806,-0.618340630612975,-87.8525172928219
"gaussian",0.8,40,8,"zbar_males",5.00010906809647,5.0136254075661,0.0135163394696258,0.270320892715475
"sigmoid",0.8,40,8,"Centralization",0.0292715081431394,0.0180993542614364,-0.011172153881703,-38.1673326398848
"sigmoid",0.8,40,8,"I_s",0.622521261454384,0.297228459954485,-0.325292801499899,-52.25408699133
"sigmoid",0.8,40,8,"Modularity",0.570248927007329,0.597816189694803,0.0275672626874743,4.83425068980797
"sigmoid",0.8,40,8,"Nestedness",1.11416383246307,0.896785575789617,-0.21737825667345,-19.5104391598222
"sigmoid",0.8,40,8,"varz_males",0.714676368346137,0.0740772900252769,-0.64059907832086,-89.6348482605207
"sigmoid",0.8,40,8,"zbar_males",4.99325242689744,5.83078513184452,0.837532704947085,16.7732898988944
"u-shaped",0.8,40,8,"Centralization",0.0193799502020134,0.0170674873097384,-0.002312462892275,-11.9322437269976
"u-shaped",0.8,40,8,"I_s",0.366399730177914,0.381863947128752,0.0154642169508378,4.22058633703926
"u-shaped",0.8,40,8,"Modularity",0.594426834098029,0.615648146594589,0.0212213124965602,3.57004618217834
"u-shaped",0.8,40,8,"Nestedness",0.971547515801754,0.828717310534017,-0.142830205267737,-14.7013092972471
"u-shaped",0.8,40,8,"varz_males",0.71011286995316,0.0812036686482747,-0.628909201304885,-88.5646814634368
"u-shaped",0.8,40,8,"zbar_males",4.96710169521303,5.02891422279334,0.061812527580309,1.24443853525044
"uniform",1,40,8,"Centralization",0.0167149218631632,0.0141049595561279,-0.00260996230703538,-15.6145648086294
"uniform",1,40,8,"I_s",0.247684137540764,0.304989013825222,0.0573048762844576,23.1362722108218
"uniform",1,40,8,"Modularity",0.584523659226441,0.622744499982788,0.0382208407563472,6.53880132190522
"uniform",1,40,8,"Nestedness",0.954445114598745,0.758379053508797,-0.196066061089948,-20.542413397168
"uniform",1,40,8,"varz_males",0.72746762134819,0.0738070545579835,-0.653660566790206,-89.8542488501138
"uniform",1,40,8,"zbar_males",5.01521150827105,5.01777682939548,0.00256532112443342,0.0511508063060294
"gaussian",1,40,8,"Centralization",0.0193951982939751,0.0139708057939968,-0.00542439249997824,-27.9677083872005
"gaussian",1,40,8,"I_s",0.301188693215669,0.390189058911818,0.0890003656961487,29.5497034586286
"gaussian",1,40,8,"Modularity",0.622600369563885,0.689424092098605,0.0668237225347196,10.7330039944448
"gaussian",1,40,8,"Nestedness",0.912713227667883,0.698715468950551,-0.213997758717332,-23.4463303730272
"gaussian",1,40,8,"varz_males",0.749207232180086,0.0810962774170212,-0.668110954763065,-89.1757214914967
"gaussian",1,40,8,"zbar_males",4.99665857248643,5.00541186983267,0.00875329734624053,0.175183019196861
"sigmoid",1,40,8,"Centralization",0.0263180401649242,0.0166173734319324,-0.00970066673299188,-36.8593811400918
